i	j	cor	p
cor187	G	H	0.409245505849449	0.000198960537286483
cor188	G	H3	0.49076687981751	5.07625231304813e-06
cor189	G	I	0.320467800368432	0.00423035360605604
cor190	G	I3	0.222676303749193	0.0500482868970079
cor191	G	J	0.0816496580927726	0.477297609519811
cor192	G	K	0.299218804563007	0.00778555159057308
cor193	G	L	0.42569603332523	0.000102115275716589
cor194	G	M	0.37046642273001	0.000841751253221271
cor195	G	N	0.318439175937776	0.00449246400498974
cor196	G	T	0.535761181208608	4.31235864484705e-07
cor197	G	U	0.305552072428772	0.00652066143024206
cor198	H	H3	0.492693426670058	4.59996112154144e-06
cor199	H	I	0.624111973944108	1.02833606067377e-09
cor200	H	I3	0.661487623582507	4.31932094276837e-11
cor201	H	J	0.373001923296126	0.000770073731074852
cor202	H	K	0.499565783678408	3.22094860570928e-06
cor203	H	L	0.600895554782074	6.01213389285796e-09
cor204	H	M	0.605805809932379	4.18754534438597e-09
cor205	H	N	0.438559113586572	5.91533158933943e-05
cor206	H	T	0.577723904959262	3.06009004923483e-08
cor207	H	U	0.524978135476741	8.04458818124343e-07
cor208	H3	I	0.433888131702552	7.23077295924831e-05
cor209	H3	I3	0.461280200426746	2.13387735759927e-05
cor210	H3	J	0.19389168358237	0.0889541451620106
cor211	H3	K	0.342026710201181	0.00217719789680773
cor212	H3	L	0.452061456590617	3.25557071398833e-05
cor213	H3	M	0.420446514448763	0.000126810003001499
cor214	H3	N	0.333613521603362	0.00283726901591326
cor215	H3	T	0.58301647668712	2.13384615467142e-08
cor216	H3	U	0.504092661580868	2.53621068553877e-06
cor217	I	I3	0.524156982212427	8.42837347991188e-07
cor218	I	J	0.339768583685792	0.00233923935510778
cor219	I	K	0.593824186003879	1.00143474903079e-08
cor220	I	L	0.552505147563487	1.56708187039201e-07
cor221	I	M	0.650339122770077	1.16422165775983e-10
cor222	I	N	0.319856648886898	0.00430784922992101
cor223	I	T	0.392600288456341	0.000377619628221733
cor224	I	U	0.476906145644492	1.01361424585773e-05
cor225	I3	J	0.522232967867094	9.39635907378548e-07
cor226	I3	K	0.384924477946531	0.000501826836875301
cor227	I3	L	0.589421664822534	1.36743688167228e-08
cor228	I3	M	0.60314830579873	5.09680303286345e-09
cor229	I3	N	0.419329608511208	0.000132729745613765
cor230	I3	T	0.47907821762928	9.11313866937862e-06
cor231	I3	U	0.44343581125602	4.7815213655908e-05
cor232	J	K	0.521749194749951	9.65574785247259e-07
cor233	J	L	0.292903951453269	0.00925637719577898
cor234	J	M	0.353553390593274	0.00149677293332776
cor235	J	N	0.229415733870562	0.0433349800669191
cor236	J	T	0.20385887657505	0.0734193232338347
cor237	J	U	0.262612865719445	0.0201889392458952
cor238	K	L	0.427902722267501	9.3129549628705e-05
cor239	K	M	0.386500602909469	0.000473629266321451
cor240	K	N	0.260769497821643	0.021114964542292
cor241	K	T	0.294398155854065	0.00888799735757233
cor242	K	U	0.327864622562376	0.00338600399125737
cor243	L	M	0.53435507539707	4.68338834311163e-07
cor244	L	N	0.466345618335099	1.68303522183018e-05
cor245	L	T	0.597110704876565	7.91226049069613e-09
cor246	L	U	0.483059773330227	7.48427878695623e-06
cor247	M	N	0.401498017298637	0.000269219777417973
cor248	M	T	0.436954669407346	6.33982073040942e-05
cor249	M	U	0.46423834544263	1.8585423030511e-05
cor250	N	T	0.472068878421387	1.28129466611226e-05
cor251	N	U	0.250027221748443	0.0272636807017051
cor252	T	U	0.414903719292835	0.000158785075310505
